コントロールカラム,商品管理番号（商品URL）,商品番号,販売価格
u,1120051010,1120051010,56500
u,1120051020,1120051020,56500
u,1120060000,1120060000,49400
u,1120060010,1120060010,49400
u,1120060020,1120060020,49400
u,1120061000,1120061000,61200
u,1120061010,1120061010,61200
u,1120061020,1120061020,61200
u,1120062000,1120062000,72000
u,1120062010,1120062010,72000
u,1120062020,1120062020,72000
u,1120063000,1120063000,21500
u,1120063010,1120063010,21500
u,1120063020,1120063020,21500
u,1120070000,1120070000,26500
u,1120070010,1120070010,26500
u,1120070020,1120070020,26500
u,1120071000,1120071000,33400
u,1120071010,1120071010,33400
u,1120071020,1120071020,33400
u,1120072000,1120072000,25000
u,1120072010,1120072010,25000
u,1120072020,1120072020,25000
u,1120073000,1120073000,30300
u,1120073010,1120073010,30300
u,1120073020,1120073020,30300
u,1120080000,1120080000,27200
u,1120080010,1120080010,27200
u,1120080020,1120080020,27200
u,1120080030,1120080030,27200
u,1120080040,1120080040,27200
u,1120090000,1120090000,38800
u,1120091000,1120091000,54400
u,1120092000,1120092000,64600
u,1120093000,1120093000,6800
u,1120094000,1120094000,41000
u,1120095000,1120095000,55800
u,1120096000,1120096000,67500
u,1120097000,1120097000,6800
u,1120100000,1120100000,128300
u,1120100010,1120100010,128300
u,1120101000,1120101000,70800
u,1120101010,1120101010,70800
u,1120102000,1120102000,86800
u,1120102010,1120102010,86800
u,1120103000,1120103000,23300
u,1120103010,1120103010,23300
u,1120110000,1120110000,40700
u,1120110010,1120110010,40700
u,1120110020,1120110020,40700
u,1120120000,1120120000,46900
u,1120120010,1120120010,46900
u,1120120020,1120120020,46900
u,1120121000,1120121000,37100
u,1120121010,1120121010,37100
u,1120121020,1120121020,37100
u,1120122000,1120122000,37100
u,1120122010,1120122010,37100
u,1120122020,1120122020,37100
u,1120130000,1120130000,72400
u,1120130010,1120130010,72400
u,1120130020,1120130020,72400
u,1120140000,1120140000,46500
u,1120140010,1120140010,46500
u,1120140020,1120140020,46500
u,1120150000,1120150000,58500
u,1120160000,1120160000,67100
u,1120160010,1120160010,67100
u,1120160020,1120160020,67100
u,1120170000,1120170000,31300
u,1120170010,1120170010,31300
u,1120170020,1120170020,31300
u,1120170030,1120170030,31300
u,1120171000,1120171000,39100
u,1120171010,1120171010,39100
u,1120171020,1120171020,39100
u,1120171030,1120171030,39100
u,1120180000,1120180000,80100
u,1120180010,1120180010,80100
u,1120180020,1120180020,80100
u,1120180030,1120180030,80100
u,1120190000,1120190000,78800
u,1120190010,1120190010,78800
u,1120190020,1120190020,78800
u,1120191000,1120191000,25800
u,1120191010,1120191010,25800
u,1120191020,1120191020,25800
u,1120200000,1120200000,95800
u,1120200010,1120200010,95800
u,1120200020,1120200020,95800
u,1120210000,1120210000,87600
u,1120210010,1120210010,87600
u,1120210020,1120210020,87600
u,1120220000,1120220000,49900
u,1120220010,1120220010,49900
u,1120220020,1120220020,49900
u,1120221000,1120221000,68300
u,1120221010,1120221010,68300
u,1120221020,1120221020,68300
u,1120230000,1120230000,64500
u,1120230010,1120230010,64500
u,1120230020,1120230020,64500
u,1120231000,1120231000,114400
u,1120231010,1120231010,114400
u,1120231020,1120231020,114400
u,1120240000,1120240000,26300
u,1120240010,1120240010,26300
u,1120240020,1120240020,26300
u,1120240030,1120240030,26300
u,1120250000,1120250000,39900
u,1120250010,1120250010,39900
u,1120250020,1120250020,39900
u,1130010000,1130010000,40400
u,1130010010,1130010010,40400
u,1130010020,1130010020,40400
u,1130011000,1130011000,44100
u,1130011010,1130011010,44100
u,1130011020,1130011020,44100
u,1130012000,1130012000,48600
u,1130012010,1130012010,48600
u,1130012020,1130012020,48600
u,1130013000,1130013000,46000
u,1130013010,1130013010,46000
u,1130013020,1130013020,46000
u,1130014000,1130014000,51600
u,1130014010,1130014010,51600
u,1130014020,1130014020,51600
u,1130015000,1130015000,56800
u,1130015010,1130015010,56800
u,1130015020,1130015020,56800
u,1130016000,1130016000,22600
u,1130016010,1130016010,22600
u,1130016020,1130016020,22600
u,1130024000,1130024000,17600
u,1130025000,1130025000,23100
u,1130025010,1130025010,23100
u,1130025020,1130025020,23100
u,1130027000,1130027000,41400
u,1130027010,1130027010,41400
u,1130027020,1130027020,41400
u,1130030000,1130030000,29800
u,1130030010,1130030010,29800
u,1130030020,1130030020,29800
u,1130031000,1130031000,33600
u,1130031010,1130031010,33600
u,1130031020,1130031020,33600
u,1130032000,1130032000,37300
u,1130032010,1130032010,37300
u,1130032020,1130032020,37300
u,1130033000,1130033000,39300
u,1130033010,1130033010,39300
u,1130033020,1130033020,39300
u,1130034000,1130034000,43800
u,1130034010,1130034010,43800
u,1130034020,1130034020,43800
u,1130035000,1130035000,48700
u,1130035010,1130035010,48700
u,1130035020,1130035020,48700
u,1130040000,1130040000,41000
u,1130040010,1130040010,41000
u,1130040020,1130040020,41000
u,1130041000,1130041000,44300
u,1130041010,1130041010,44300
u,1130041020,1130041020,44300
u,1130042000,1130042000,47700
u,1130042010,1130042010,47700
u,1130042020,1130042020,47700
u,1130050000,1130050000,22200
u,1130050010,1130050010,22200
u,1130050020,1130050020,22200
u,1130050030,1130050030,22200
u,1130060000,1130060000,75500
u,1130060010,1130060010,75500
u,1130060020,1130060020,75500
u,1130060030,1130060030,75500
u,1140010000,1140010000,34500
u,1140011000,1140011000,33500
u,1140030000,1140030000,29900
u,1140030010,1140030010,29900
u,1170016000,1170016000,25300
u,1170016010,1170016010,25300
u,1199999999,1199999999,0
